Unnamed: 0,source_id,row_index,segment_idx,akk,eng
1353,,1356,0,14 <gap> ma-na <gap> 8.6666 GÍN KÙ.BABBAR ší-im AN.NA TÚG.ḪI.A ù ANŠE.ḪI.A,"14 minas <gap> 8.6666 shekels of silver is the price of tin, textiles and donkeys."
1354,,1357,0,10 GÍN KÙ.BABBAR ṣa-ru-pá-am a-na bé-a-lim a-na šu-nu-nu 1 GÍN a-na ni-qí-šu 7 GÍN a-na i-lá-áš-ra-ni ÌR-ni 2 GÍN a ni-qí-šu a-na šu-IŠTAR DUMU šu-ki-tim 1.5 GÍN a-na ili₅-ba-ni 1.5 GÍN a-na a-šur-la-ma-sí DUMU ša-ba-ḫa-nim 1 GÍN a-na a-ra-ší-ḫa-tal 1 GÍN a-na a-bu-ša-lim <gap> i-<gap> a <gap> na <gap> ri-im <gap>-a-na <gap> ki-a <gap> ni a-na tí-da <gap> a-ḫa-ma i-nu-mì a-šur-DU₁₀ i-na-na e-ḫu-zu 1.5 GÍN KÙ.BABBAR a-na am-tí-šu 1 GÍN a-na ša lá-qé-pì-im 3 GÍN i-nu-mì DUMU e-lá-ma e-ḫu-zu a ma-ḫa-tí-ni a-dí-in,"10 shekels of refined silver for a working capital for Šu-Nūnu; 1 shekel for his sacrifice; 7 shekels for Ilī-ašrannī our slave(?); 2 shekels for his sacrifice to Šu-Ištar son of Šukkutum; 1.5 shekel for Ilī-bāni; 1.5 shekel for Aššur-lamassī son of Šabahānum; 1 shekel for Arašihatal; 1 shekel for Abu-šalim; <gap> for Tida<gap> further, when Aššur-ṭāb married Inanna 1.5 shekel of silver for his maid;"
1355,,1358,0,a-na MAR.TU-ba-ni en-na-nim ù en-um-a-šur qí-bi-ma um-ma ku-ku-wa-ma a-na-kam ḫa-ra-ni a-ta-be-a-ma a-ta-lá-kam i-dí-IŠTAR ù {d}IM-ṣú-lu-li im-ṣí-ú-ma um-ma šu-nu-ma mì-ma KÙ.BABBAR-áp ma-num-ba-lúm-a-šur i-na li-bi₄-kà ni-iṣ-ba-at a-pu-tum a-ḫu-ú-a be-lu-a a-tù-nu a-ma-kam É-be-TIM <gap> ú-pá-ri-id tí-ir-tù-šu a-na ṣé-er ša ki-ma i-a-tí li-li-kam-ma lá-at-be-a-ma lá-tal-kam <gap> ta <gap> áš <gap> ta al ta zi it <gap> a-ša-kà-ku-ni <gap> a-na <gap> na <gap> me-ma <gap> me <gap> zu <gap> TÚG <gap> me-at <gap>,"To Amurrum-bāni, Ennānum and Ennam-Aššur from Kukuwa: Here I would set out on a journey and come, (but) Iddin-Ištar and Adad-ṣulūlī on their own responsibility and said: We have seized all the silver belonging to Mannum-balum-Aššur that was in your possession."" Urgent, my dear brothers and lords, he terrified the house there <gap> His message should come to my representatives, so I can set out and come. <gap>"""
1356,,1359,0,i-na 16.8333 ma-na ḫu-sà-ri-im ša ik-ri-bi ša a-šùr SAG.BA 1 ma-na 5.5 GÍN a-na i-tur₄-DINGIR a-dí-in-ma a-na ší-a-ma-tim a-na tí-me-el-ki-a a-la-ba-am ú-šé-bi-il₅ 2 ma-na 15.5 GÍN a-na ší-a-ma-tí-ma DAM.GÀR a-na šu-IŠTAR DUMU šu-ki-tim i-dí-in ší-tí ḫu-sà-ri-im 13.3333 ma-na 9 GÍN iš-tí en-um-a-šùr i-ba-ší,"Of the 16 ⅚ minas of lapis lazuli from the votive offerings for Aššur, thereof I gave 1 mina 5 ½ shekels to Itūr-ilī and he sent Ali-abum to Timelkiya to make purchases. The merchant gave 2 minas 15 ½ shekels, also for purchase, to Šu-Ištar son of Šukkutum. The rest of the lapis lazuli, 13 ⅓ minas 9 shekels, is with Ennam-Aššur."
1357,,1360,0,um-ma i-dí-sú-in-ma a-na ili₅-ba-ni a-bi-lá ù en-na-sú-in qí-bi₄-ma i-na pá-na ú-nu-tí-a la-dí-a-am-ma mì-šu ú-nu-tí-a ta-at-ba-al-ma ni-kà-sí iš-tí-a ú-lá ta-sí ù u₄-ma-am lu-qú-tí <gap> ta-ar-de₈-a-ma ku-nu-ke ša a-bi₄-a ù um-mì-a-ni-a ú-lá a-mu-ur ku-nu-ke tù-pá-ṭé-er-ma tu-BA-li-iḫ TÚG ṣú-ba-tám na-ar-ba-am a-ḫa-tí tù-šé-bi₄-lam a-ta TÚG ta-ak-ta-lá šu-ma a-šu-um TÚG a-mì-e-im ki-ma <gap> ša a-bi₄-kà na-pá-áš-ta-kà lá a-ki-is mì-nam ḫa-bu-lá-ku-ma 3 TÚG ṣú-ba-tí-a ta-ak-ta-lá ki-ma a-ta sà-ra-tí-ni-ma <gap> pu-ru-sà i-dí-ni a-na-ku lá i-de₈-e mì-šum a-ta ú-nu-tí-a ta-at-ba-al,"Thus Iddin-Suen say to Ilī-bāni, Abila? and Enna(m)-Suen: I wished to deposit my goods at the start, so why have you taken away my goods without having settled accounts with me? And today you have taken along my merchandise and the seals of my father and my investor(s), you have broken these seals without me even having seen them and so have <gap> My sister sent me a soft garment, but you have held back that garment. If, because of this textile, as if it were your father's, I have not cut your throat, what then do I owe you that you have held back 3 textiles of mine? That <gap> you are false(?) and the of <gap>, would I not know that? Why have you taken away my goods?"""""
1358,,1361,0,96 ku-ta-nu ša ì-lí-a 12 ku-ta-nu ša a-šur-lá-ma-sí 1 me-at <gap> ša kur-ub-IŠTAR 1 me-at LÁ 2 ša e-lá-ma,"96 -textiles of Iliya, 12 -textiles of Aššur-lamassī, 100 of Kurub-Ištar, 98 of Elamma."
1359,,1362,0,a-na en-na-nim a-šur-ba-ni ù a-lá-ḫi-im qí-bi-ma um-ma bé-lúm-ba-ni-ma a-šu-mì AN.NA ša áš-pu-ra-ku-nu-tí-ni um-ma a-na-ku-ma AN.NA a-na be-lá-nim dí-na-ma be-lá-nu-um lu-ub-lam a-na-kam be-lá-num ḫa-ra-šu iš-tí-ni a-na šál-ma-a-šur dí-na-ma AN.NA ša-lim-a-šur lu-ub-lam a-šu-mì KÙ.BABBAR ša ša-zu-úz-tí a-lu-lá-a iš-qú-lá-ku-nu-tí-ni KÙ.BABBAR lu a ḫu-bu-li-a ta-áš-qú-lá-ma ṭup-pá-am ḫa-ar-ma-am ša ku-nu-ki-a tù-šé-ṣí-a ṭup-pá-am li-it-a-ma šé-bi₄-lá-nim ú a-na ší-tí KÙ.BABBAR tí-ir-ta-ak-nu li-li-kam šu-ma šu-ku-ba-am KÙ.BABBAR tù-uš-ta-áš-qí-lá ší-ma-am ša ba-lá-ṭí-a ša-ma-ma šé-bi₄-lá-nim a-<gap> lá a-šur-na-da <gap> ma-na 5 GÍN KÙ.BABBAR na-bu-tám ù 10 ma-na URUDU ší-kam i-dí-nam ṣa-áb-ta-šu-ma 0.3333 ma-na 1 GÍN KÙ.BABBAR ša-áš-qí-lá-šu,"To Ennānum, Aššur-bāni and Ali-ahum from Bēlum-bāni: Concerning the tin I wrote to you about, where I said: Give the tin to Bēlānum and let Bēlānum bring it, Bēlānum travels here together with us. Give it to Šalim-Aššur and let Šalim-Aššur bring the tin. Concerning the silver that Alulaya's representative paid to you - what silver you have paid on my debt and recovered the certified tablet with my seal - split that tablet and send it to me. then send me word about the rest of the silver. If you have made Šu-Kūbum pay silver, then make a profitable purchase for me and send it to me. <gap> Aššur-nādā <gap> 5 shekels of silver <gap> and he gave me 10 minas of copper. Seize him and make him pay 0.3333 mina 1 shekel of silver."
1360,,1363,0,um-ma lá-li-a-ma a-na a-šur-e-nam ù da-da-a qí-bi-ma a-na a-šur-e-nam qí-bi-ma lu-lá-am ku-nu-ki-a ù ar-za-lam ša e-zi-ba-ku-ni šu-ma a-ḫi a-ta lu-lá-am ku-nu-ki-a ù ar-za-lam a-na da-da-a dí-in a-sú-re lu-lá-am ù ar-za-lam a-na da-da-a e lá ta-dí-in-ma li-bi₄ e im-ra-aṣ a-na da-da-a qí-bi-ma šu-ma lu-lá-am ù ar-za-lam lá i-da-na-ku-um da-na-at-kà qí-bi-šu-um,"Thus Laliya, say to Aššur-ennam and Dadaya, and in particular to Aššur-ennam: The antimony under my seal and the, which I left to you, please, my brother, give that antimony under my seal and the to Dadaya. By no means fail to give the antimony and the to Dadaya lest I get angry! Say to Dadaya: ""If he does not give you the antimony and the, state to him your harsh condition!"""""
1361,,1364,0,a-na e-lá-ma qí-bi-ma um-ma a-šùr-SIPA-ma 2 šu-lu-up-kà-ú ša ú-šé-bi-lá-ni a-šùr-mu-ta-pí-il₅ a-na 30 ma-na ma-sí-am lá-ma a-li-kà-ni il₅-qé-šu-nu wa-ar-kà-nu-um um-ma šu-ut-ma ṣú-ba-ti-kà li-qé 1 TÚG šé-šé-ra-am i-pu-ḫu-šu ša-ni-am ú-ri-šu-uš TÚG a pá-ni-a i-dí-ú-šu-nu a-bi a-ta be-lí a-ta lá ú-nu-ú-ni té-er-ta-kà li-li-kam-ma ší-im TÚG.ḪI.A li-dí-nu-nim-ma lá-tal-kam a-ma a-ša ta-ta-ú-ni um-ma a-ta-ma ar-ḫi-iš ta-ta-lá-kam tù-ZA-ra-<gap>-ni,"Say to Elamma, thus Aššur-rē'ī: The 2 Šulupkaean textiles I sent you Aššur-mūtappil had taken for 30 minas of refined copper before I arrived. Afterwards he said: 'Take your textiles!' As for 1 <gap> textile, instead of it they asked for another one. They deposited the textile(s) before me. Please my father, my lord, they must not cheat me! Let a message of yours come here so that they give me the price of the textiles, then I will leave. Now then, as for what you said: 'Leave quickly!' you are <gap>ing me."""""
1362,,1365,0,a-na i-tur₄-DINGIR qí-bi-ma um-ma a-lu-la-a ù tám-kà-ru-um-ma 16.6666 ma-na ri-ik-sà-am ku-nu-ki ša a-lu-lá-a ša ša-lim-ar-dí ù e-wa-ri-mu-ša ub-lu-ni-ku-ni-ma šu-mì DAM.GÀR ú-du-ú-ma a-na na-áb-ší-im nu-šé-bi-lá-ku-ni DAM.GÀR en-um-a-šur a-ma-kam ri-ik-sà-am a-na en-um-a-šur dí-in-ma ù té-er-ta-kà le-zi-ba-am a-dí AN.NA ša ta-dí-nu-ni-ma 27 ma-na AN.NA iš-tí-kà-ma i-ba-ší 30 ma-na AN.NA ta-dí-na-ma iš-tí pí-lá-aḫ-IŠTAR i-ba-ší a-bi a-ta a šu-mì-kà sà-aḫ-ra-ku-ma li-bi₄ lá <gap> dí-in ší <gap> lu ta da a,"To Itūr-ilī from Alulaya and the merchant: The bundle of 16.6666 minas, sealed by Alulaya, that Šalim-wardī and Ewarimuša brought to you and for which the name of the merchant was made known, and which we sent you for safe-keeping - Ennam-Aššur was the merchant. Give the bundle to Ennam-Aššur there and then let him leave a message from you for me. With respect to the tin you sold, 27 minas of tin are in your possession; You sold 30 minas of tin and that is with Pilah-Ištar. My dear father, because of you I am delayed and my heart <gap>"
