,id,translation,transliteration
0,1,{d}PA-UR.SAG,{d}PA-UR.SAG
1,2,{d}UTU-bani,{d}UTU-ba-ni
2,3,{d}UTU-GAL,{d}UTU-GAL
3,4,A-<gap>-ku-<big_gap>,A-<gap>-ku-<big_gap>
4,5,A-áš-be-el,A-áš-be-el
5,6,A-bi4-ra-<gap>,A-bi4-ra-<gap>
6,7,A-dí-bu,A-dí-bu
7,8,A-ha-tí-e,A-ha-tí-e
8,9,A-na-ar,A-na-ar
9,10,A-na-na-ar-tim,A-na-na-ar-tim
10,11,A-nu-li,A-nu-li
11,12,A-šu-ra-an,A-šu-ra-an
12,13,A-ta-dí-a,A-ta-dí-a
13,14,A’ahšu,a-a-ah-šu
14,15,A’ahšu,a-a-ah-šu-nu
15,16,A’ahšunu,a-a-ah-šu-nu
16,17,Ab-lamassī,a-bi-la-ma-sí
17,18,Ab-lamassī,áb-la-ma-a-sí
18,19,Ab-lamassī,áb-la-ma-a-sí-i
19,20,Ab-lamassī,áb-la-ma-sí
20,21,Ab-lamassī,áb-lá-ma-a-sí
21,22,Ab-lamassī,áb-lá-ma-a-sí-i
22,23,Ab-lamassī,áb-lá-ma-sí
23,24,Ab-lamassi,a-bi-la-ma-sí
24,25,Ab-lamassi,áb-la-ma-a-sí
25,26,Ab-lamassi,áb-la-ma-a-sí-i
26,27,Ab-lamassi,áb-la-ma-sí
27,28,Ab-lamassi,áb-lá-ma-a-sí
28,29,Ab-lamassi,áb-lá-ma-a-sí-i
29,30,Ab-lamassi,áb-lá-ma-sí
30,31,Ab-šalim,Áb-ša-lim
31,32,Aba,A-ba
32,33,Aba,a-ba-a
33,34,Aba-<big_gap>-iš,A-ba-<big_gap>-iš
34,35,Aba-<gap>,A-ba-<gap>
35,36,Aba-ahī,A-ba-a-hi
36,37,Aba-il,A-ba-el
37,38,Aba-šalim,a-ba-SILIM
38,39,Aba-waqar,A-ba-qar
39,40,Ababa,A-ba-ba
40,41,Ababa,A-pa-pa
41,42,Ababāya,A-ba-ba-a-a
42,43,Abalala,A-ba-lá-lá
43,44,Abalala,A-ba-lá-lá-a
44,45,Abānum,A-ba-ni-im
45,46,Abari,A-ba-ri
46,47,Abarzizum,A-bar-zi-zi-im
47,48,Abasia,A-ba-sí-a
48,49,Abatanānum,a-ba-ta-na-nu-um
49,50,Abatanānum,a-ba-ta-na-num
50,51,Abatar,a-ba-tár
51,52,Abatim,A-ba-tum
52,53,Abatim,A-ba-tim
53,54,Abattu,A-ba-du-um
54,55,Abattum,A-ba-tum
55,56,Abattum,A-ba-tim
56,57,Abātum,A-ba-tum
57,58,Abātum,A-ba-tim
58,59,Abāya,A-ba-a-a
59,60,Abazi,A-ba-zi
60,61,Abaziašu,a-ba-zi-a-šu
61,62,Abaziašu,a-pé-zi-a-šu
62,63,Abazu,Ab-ba-zu
63,64,Abba,Ab-ba
64,65,Abduata,a-áb-du-a-ta
65,66,Abduata,ab-du-a-ta
66,67,Abduata,áb-du-a-ta
67,68,Abduata,áp-du-a-ta
68,69,Abed-Ištar,Ab-di-Ištar
69,70,Abela,A-bi-la
70,71,Abela,a-be-i-lá
71,72,Abela,a-be-la
72,73,Abeli,a-be-li-i
73,74,Abi-a’a,A-bi4-a-a
74,75,Abi-anum,A-bi-a-num
75,76,Abi-anum,A-be-a-ni-im
76,77,Abī-Anum,A-bi-a-num
77,78,Abī-Anum,A-be-a-ni-im
78,79,Abī-Aššur,A-bi4-A-šùr
79,80,Abī-Aya,A-bi-a-a
80,81,Abī-Aya,A-bi4-a-a
81,82,Abī-baštī,a-bi-ba-áš-tí
82,83,Abī-baštī,a-bi4-ba-áš-tí
83,84,Abī-baštī,a-bi4-i-ba-áš-tí
84,85,Abī-bāštī,a-bi-ba-áš-tí
85,86,Abī-bāštī,a-bi4-ba-áš-tí
86,87,Abī-bāštī,a-bi4-i-ba-áš-tí
87,88,Abī-dūrī,A-bi-du-ri
88,89,Abī-Ea,A-bi-me-a
89,90,Abi-ili,A-bi-ì-lí
90,91,Abi-ili,A-bi4-DINGIR
91,92,Abi-ili,A-bi-lí
92,93,Abi-ilī,A-bi-ì-lí
93,94,Abi-ilī,A-bi4-DINGIR
94,95,Abi-ilī,A-bi-lí
95,96,Abī-ilī,A-bi-ì-lí
96,97,Abī-ilī,A-bi4-DINGIR
