,row_index,segment_idx,akk,eng
0,7,0,a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de₈-ú-ni a-ta 30 TÚG ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR ta-lá-qé-e um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il₅-pu-ut um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a i-tù-wa-ar um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A a-za-za-kum a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in ,"We entered Šalim-Aššur's house to settle the case, and Šalim-Aššur said: While they are going to lead me personally to Burušhaddum in fetters to pay the debt of the slave Abu-šalim, will you on the other hand take 30 -textiles and a black donkey from the slave?""Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim."" Šalim-Aššur impressed on us what had been sworn by the City, and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, then, will he raise claims against my slave?"" Šu-Bēlum answered: ""If he raises claim against yours, then I guarantee for the textiles and the donkey for you."" The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger. "
1,7,1,IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,"Witnessed by Uraya, by Ilī-dan, by Mannum-balum-Aššur."""
2,7,2,,
3,21,0,<gap> ša-lim-ar-dí ú šu-nu-nu áp-qí-id ,<gap> I entrusted to Šalim-wardī and Šu-Nūnu. 
4,21,1,IGI a-šùr-i-dí DUMU mu-mu-lá-nim IGI a-šur-ta-ak-lá-ku DUMU i-ku-nim DUMU sá-ma-a mì-ma a-nim ,"Witnessed by Aššur-idī son of Mu-mulānum, by Aššur-taklāku son of Ikūnum son of Samaya."
5,21,2,a dur₄-ḫu-mì-it <gap> ša ki-ma i-a-tí ú-šé-bi₄-il₅, 
6,22,0,13 ma-na KÙ.BABBAR ṣa-ru-pá-am en-um-a-šùr DUMU sú-in-na-da 5.3333 ma-na KÙ.BABBAR ṣa-ru-pá-am sú-in-na-da me-ra-šu il₅-qé-ú i-na ší-im <gap> ,"Ennam-Aššur son of Suen-nādā has received 13 minas of refined silver, and Suen-nādā his son has received 5.3333 minas of refined silver . "
7,22,1,IGI a-šùr-i-mì-tí IGI iš-me-DINGIR IGI bi-<gap> DUMU ḫa-na-ni-a IGI DINGIR.SIPA DUMU ša-ak-ṣí-im,"Witnessed by Aššur-imittī, by Išme-ilum, by Bi<gap> son of hannāniya, by Ilī-rē'ī son of Šakṣum."
8,22,2,, 
9,23,0,4 GÍN KÙ.BABBAR i-ṣé-er <gap>-a-šur DAM.GÀR i-šu ITU.KAM a-lá-na-tim a-na ITU.KAM i-ša-qal šu-ma lá iš-qúl 0.3333 GÍN.TA i-na ITU.KAM ú-ṣa-áb li-mu-um a-šùr-na-da ḫa-mu-uš-tum ša qá-té kà-ar-wa-a ,"4 shekels of silver <gap>-Aššur owes to the creditor. Contracted in month XII. He will pay within a month. If he does not pay he will add as interest 0.3333 shekel per month Year eponymy of Aššur-nādā, week eponymy of the successor of Karwaya. "
10,23,1,IGI a-šur-i-dí,Witnessed by Aššur-idī
11,23,2,,
