,oare_id,aligned_transliteration,aligned_translation,comment
0,004a7dbd-57ce-46f8-9691-409be61c676e_0,KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a,Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur
1,004a7dbd-57ce-46f8-9691-409be61c676e_1,0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu,Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum.,Suggested interval (13-24) adjusted to (12-24); includes the silver amount with the debt statement.
2,004a7dbd-57ce-46f8-9691-409be61c676e_2,iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal,Reckoned from the week of Ilī-dan, month of Ša-kēnātim
3,004a7dbd-57ce-46f8-9691-409be61c676e_3,šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb,If he has not paid in time, he will add interest at the rate 1.5 shekel per mina per month.
4,009fb838-8038-42bc-ad34-5f795b3840ee_0.0,KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku,Seal of Šu-Illil son of Šu-Kūbum, seal of Ṣilūlu son of Uku.
5,009fb838-8038-42bc-ad34-5f795b3840ee_1.0,i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in,When Iddin-abum spoke his will, he gave 10 minas of silver to Šalim-Aššur.
6,009fb838-8038-42bc-ad34-5f795b3840ee_2.0,um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il₅-qé,"He said: ""He may take it from the interest on my silver.""",Interval (18-23) correct; quoted speech introduced by umma
7,0.0,a-na É šál-ma-a-šùr a-na a-wa-tim né-ru-ub-ma,We entered Šalim-Aššur's house to settle the case,Interval (0-6) is correct
8,1.0,um-ma šál-ma-a-šùr-ma i-a-tí a-na bu-ru-uš-ḫa-dim i-na ma-ak-sú-e-im a-na ḫu-bu-ul ÌR a-bu-ša-lim ša-qá-lim i-ra-de₈-ú-ni a-ta 30 TÚG ku-ta-ni ù ANŠE ṣa-lá-ma-am ša ÌR ta-lá-qé-e,"and Šalim-Aššur said: ""While they are going to lead me personally to Burušhaddum in fetters to pay the debt of the slave Abu-šalim, will you on the other hand take 30 kutānu-textiles and a black donkey from the slave?""",Interval adjusted to (6-29) to include ta-lá-qé-e
9,2.0,um-ma šu-be-lúm-ma ke-na ša ÌR-dí-a a-bu-ša-lim al-qé ša-lim-a-šur ša ni-iš a-lim{ki} úz-na-tí-ni il₅-pu-ut,"Šu-Bēlum answered: ""Yes, I have taken what belongs to my slave Abu-šalim."" Šalim-Aššur impressed on us what had been sworn by the City,",Interval adjusted to (29-42) to start after ta-lá-qé-e
10,3.0,um-ma ša-lim-a-šur-ma a-šar ÌR a-na ÌR-dí-kà lá i-tù-ru-ú ma-a a-na ÌR-dí-a i-tù-wa-ar,"and Šalim-Aššur said: ""In case the slave does not raise claim against your slave, then, will he raise claims against my slave?""",Interval adjusted to (42-54) to include i-tù-wa-ar
11,4.0,um-ma šu-be-lúm-ma šu-ma a-na ku-a-im i-tù-a-ar a-na TÚG.ḪI.A ù ANŠE.ḪI.A a-za-za-kum,"Šu-Bēlum answered: ""If he raises claim against yours, then I guarantee for the textiles and the donkey for you.""",Interval adjusted to (54-65) to start after i-tù-wa-ar
12,5.0,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.,Interval adjusted to (65-77) to include ni-dí-in
13,6.0,IGI ú-ra-a IGI ì-lí-dan IGI ma-ni-um-ba-lúm-a-šùr,"Witnessed by Uraya, by Ilī-dan, by Mannum-balum-Aššur.",Interval adjusted to (77-83)
14,01cc1406-fc42-4252-aeae-6b4538b069c5_0,17 GÍN KÙ.BABBAR ší-im e-ma-ri-im 30 ma-na URUDU IŠTAR-pí-lá-aḫ a-na ar-be-e-šu <gap> ù-kà-pu-ú ša-pì-ú-tim 9 ma-na URUDU SIG₅ i ší-im sú-ub-ri-im 1 ma-na URUDU ší-kam iš-tí DUMU IŠTAR-ba-ni 2 kà-ar-pát kà-mu-nu mì-ma a-nim i-na du-ur-ḫu-mì-it i-ba-ší,17 shekels of silver, the price of a donkey
15,01cc1406-fc42-4252-aeae-6b4538b069c5_1,10 pí-ri-kà-nu 1 GÚ SÍG.ḪI.A 2 ú-kà-pé-e 80 lu-ur-ma-tum 10 ma-na Ì.GIŠ sà-ar-dam sà-áp-tí-nam ni-ib-ra-ra-am 2 ší-it-re-e ša za-al-pá 2 e-ma-re ú ù-nu-sú-nu mì-ma a-nim a-na a-šùr-i-mì-tí a-dí-in,10 pirikannu-textiles, 1 talent of wool
16,020aa8bd-69a4-43a9-8120-efd9e587bb1c_0.0,IGI GÍR ša a-šu,"Witnesses: Aššur-idī, Elāli; Puzur-ilī son of Balzuenum was our (absent) partner.",The transliteration appears incomplete/truncated at this point; the witness names (Aššur-idī
17,02f0ecc7-746b-449d-803c-c05ebbda2336_0.0,kà-ru-um dí-nam i-dí-in-ma ša-lim-a-šùr ṭup-pu-šu a ší-bi-šu ma-lá KÙ.BABBAR a-na ḫu-bu-ul i-dí-a-bi-im ú-ša-qí-lu ŠU.NÍGIN KÙ.BABBAR a-na me-er-e i-dí-a-bi-im i-qá-bi um-ma šu-ut-ma KÙ.BABBAR a-nim a-ḫa-a ú-ša-qí-il₅,The colony has passed a verdict stating that Šalim-Aššur must mention to the sons of Iddin-abum his tablets for his witnesses to how much silver - all the silver - he has paid to cover Iddin-abum's debt. He is to say: This silver I paid in different places.,Single segment covering entire text; interval (0-25) spans full transliteration.
18,0.0,13 ma-na KÙ.BABBAR ṣa-ru-pá-am en-um-a-šùr DUMU sú-in-na-da 5.3333 ma-na KÙ.BABBAR ṣa-ru-pá-am sú-in-na-da me-ra-šu il₅-qé-ú i-na ší-im <gap>,"Ennam-Aššur son of Suen-nādā has received 13 minas of refined silver, and Suen-nādā his son has received 5.3333 minas of refined silver .",Segment covers the main transaction; guide translation mentions proceeds of wool but the high-quality translation omits this detail; break placed after <gap> before witness list
19,1.0,IGI a-šùr-i-mì-tí IGI iš-me-DINGIR IGI bi-<gap> DUMU ḫa-na-ni-a IGI DINGIR.SIPA DUMU ša-ak-ṣí-im,"Witnessed by Aššur-imittī, by Išme-ilum, by Bi<gap> son of hannāniya, by Ilī-rē'ī son of Šakṣum.",Witness list segment aligned straightforwardly
20,0.0,4 GÍN KÙ.BABBAR i-ṣé-er <gap>-a-šur DAM.GÀR i-šu,4 shekels of silver <gap>-Aššur owes to the creditor.,Interval adjusted to include i-šu as part of the debt clause
21,1.0,ITU.KAM a-lá-na-tim a-na ITU.KAM i-ša-qal,Contracted in month XII. He will pay within a month.,Starts at token 8; interval start shifted by 1
22,2.0,šu-ma lá iš-qúl 0.3333 GÍN.TA i-na ITU.KAM ú-ṣa-áb,If he does not pay he will add as interest 0.3333 shekel per month,Interval as suggested
23,3.0,li-mu-um a-šùr-na-da,Year eponymy of Aššur-nādā,Interval as suggested
24,4.0,ḫa-mu-uš-tum ša qá-té kà-ar-wa-a,week eponymy of the successor of Karwaya,Interval as suggested
25,5.0,IGI a-šur-i-dí,Witnessed by Aššur-idī,Interval as suggested
26,041c9029-8f6f-40f8-989b-77a75878221c_0.0,a-na a-lá-ḫi-im qí-bi₄-ma um-ma PUZUR₄-a-šur-ma,To Ali-ahum from Puzur-Aššur:,Standard Old Assyrian epistolary opening formula; interval correctly captures the address and sender introduction
27,0480d321-8019-4775-bb29-5ac41b659c02_0,a-na ku-li-a qí-bi-ma um-ma a-sá-num-ma,To Kuliya say thus says Asānum:,Interval 0-5 correct
28,0480d321-8019-4775-bb29-5ac41b659c02_1,a-šu-mì a-ší-im sá-aḫ-ra-a-ku a-ši-a-im,I am still staying (here) because of the meteoric iron.,"Interval 5-9 adjusted; a-ši-a-im belongs here as ""I will sell it"" fits next segment better; keeping 5-9"
29,0480d321-8019-4775-bb29-5ac41b659c02_2,i-ma-gu₅-ru a-da-šu-ma a-ta-be-a-am-ma a-ta-lá-kam,When they agree with the (quality/price of the) iron I will sell it get ready and leave for you.,Interval 9-13 correct
30,0480d321-8019-4775-bb29-5ac41b659c02_3,a-dí-i na-áš-pè-er-tí-kà ša a-šu-mì kà-lá-pí-im i-li-kà-ni ší-bé-e a-dí-ni lá aḫ-ri-im,As for your letter which arrived here concerning the axe I have not yet recorded (the depositions) of the witnesses.,Interval 13-23 adjusted from 13-20; segment ends before witness names
31,0480d321-8019-4775-bb29-5ac41b659c02_4,i ší-be-a a-zu kà-ṣa-ar PUZUR₄-a-mur,Among my witnesses figures Azu the transporter of Puzur-Aššur.,Interval 23-28 adjusted
32,0480d321-8019-4775-bb29-5ac41b659c02_5,be-li a-ta a-na a-na PUZUR₄-a-mur pu-nu-ma a-zu-ú li-iṭ-ru-dam iš-tí tap-pá-i-šu ší-bu-tám li-dí-nam,Please my lord approach Puzur-Aššur and let him send Azu to me so that he can testify for me together with his colleagues.,Interval 28-40 correct
