,row_index,segment_idx,akk,eng
0,51,0,,
1,51,1,KIŠIB bu-bu-ra-nu-um ,Sealed by Buburānum;
2,51,2,a-na a-bi₄-a DUMU be-e-be ù a-šùr-DU₁₀ <gap>-nu a-bi₄-a šu-ma a-ḫu-a a-tù-nu iḫ-da," to Abiya son of Bebe and Aššur-ṭab. <gap> Abiya. If you are truly my brothers, take care!"
3,76,0,,
4,76,1,KIŠIB ša ,Sealed by your
5,76,2,ki-ma ku-a-tí a-na en-um-a-šur um-ma a-šur-ma-sú-i-ma áš-ku-ma a-lá-ni-<gap> lá tù-šé-ba-lá-am <gap> a šé-bi₄-lam ḫa-ra-<gap>, representatives; to Ennam-Aššur. From Aššur-massuʾī: <gap> I set <gap> and you do not send <gap> send <gap>
6,283,0,,
7,283,1,KIŠIB ša-lim-a-šur ,Sealed by Šalim-Aššur;
8,283,2,a-na en-nam-a-šur ù a-lá-ḫi-im ša-na-am ša 20 ma-na ma-<gap>, to Ennam-Aššur and Ali-ahum. A kettle of 20 minas <gap>
9,302,0,,
10,302,1,KIŠIB ni-mar-IŠTAR DUMU PUZUR₄-a-šùr KIŠIB en-nam-a-šùr DUMU kà-ri-a ,"Sealed by Nimar-Ištar son of Puzur-Aššur, by Ennam-Aššur son of Karriya;"
11,302,2,a-šùr-na-da DUMU šu-{d}EN.LÍL tap-pá-i-ni a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in, Aššur-nādā son of Šu-Illil is our (absent) partner. The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger. 
12,319,0,,
