id,transliteration,translation
0,-a,my
1,-am,to me
2,-iš,like
3,-ka,you
4,-ki,you
5,-kim,to you
6,-kin,your
7,-kināti,you
8,-kināši,to you
9,-ku,to you
10,-kuni,your
11,-kunu,your
12,-kunu,(to) you
13,-kunūti,you
14,-kunūši,to you
15,-ma,and
16,-min,if it were that ...
17,-munu,(n-)placed
18,-munu,(n-)year-old
19,-mê,hey!
20,-ni,me
21,-ni,our
22,-nim,to me
23,-niāti,us
24,-niāšim,for us
25,-nâšin,us
26,-nīni,our
27,-ya,my
28,-ā,my
29,-ī,my
30,-ša,her
31,-šeret,ten
32,-šerû,...teenth
33,-šerīšu,ten times
34,-ši,her
35,-šim,to her
36,-šina,their (f.)
37,-šināt,(to) them (f.)
38,-šināti,them (f.)
39,-šināši,to them (f.)
40,-šu,his
41,-šu,him
42,-šum,to him
43,-šunu,their
44,-šunu,them
45,-šunī,of them two
46,-šunīti,them two
47,-šunīšim,to them two
48,-šunūti,them
49,-šunūti,to them
50,-šunūši,to them
51,Abu,Abu festival
52,Adaru,first A.
53,Anu,An(um)
54,Anunnakkū,(the) gods
55,Anzû,Anzû
56,Anzû,lion-headed eagle
57,Anūtu,position of An
58,Anūtu,divinity
59,Ayya'ūtu,function of the goddess Ayya
60,Du'ūzu,Tammuz
61,Ea'ūtu,Ea-ship
62,Eannakku,(the temple) Eanna
63,Eber nāri,across the river
64,Elamatu,(goddess) of Elam
65,Ellil,E. of the gods
66,Ellilūtu,power of Enlil
67,Ellilūtu,divine supremacy
68,Elūnu,(festival of) E.
69,Gašrānu,strong
70,Id,River(-god)
71,Igigû,the (ten) great gods
72,Ikišītu,Kiš canal
73,Isinītu,the Isin canal
74,Kinūnû,born on the Kinūnu festival
75,Kiššītu,of Kiš
76,Kurnugi,The Underworld
77,Madānu,the Divine Judge
78,Manziat,rainbow
79,Mulahhišu,Whisperer
80,Nabrītu,Born on the day of the nabrû offering
81,Nisaba,grain (goddess)
82,Pazūzu,P. heads
83,Simut,(planet) Mars
84,Su'ēn,moon(-god)
85,Sulāmum,Friendly
86,Sîn,the moon(-god)
87,Sūqāya,from the street
88,Tašmētu,listening
89,Tašmētu,attention
90,Ukaduhha,Cygnus
91,Ummān-manda,barbarian horde
92,Urkītu,(Ištar) of Uruk
93,a'lu,tribe
94,a'lu,confederation
95,a'û,ferryman
96,ababu,forest
97,abahšinnu,stalk
98,abal,without
99,abamātu,sea
100,abarakkatu,stewardess
101,abarakkatu,housekeeper
102,abarakku,steward
103,abarakku,housekeeper
104,abarnīu,from Abarna
105,abartu,opposite shore
106,abartu,bank
107,abarša,truly
108,abarša,certainly
109,abasigga,receding water
110,abattu,river-gravel
111,abattu,stone of carob(-bean)
112,abattu,pestle
113,abattu,a. of baked brick
114,abbu,swamp
115,abbuttu,to give (s.o.) an a. hair-style
116,abbuttānû,wearer of abbuttu hair-style
117,abbû,swamp fauna
118,abbālu,very sad
119,abbūtu,fatherhood
120,abdu,servant
121,abdu,slave
122,abiktu,defeat
123,abiyānu,poor
124,abkigu,cow
125,abku,captive
126,abkūtu,defeated state
127,ablu,dry
128,ablu,dried
129,abnu,stone
130,abrakkūtu,function of stewardess
131,abriš,like a stack of wood
132,abru,strong
133,abru,robust
134,abru,wing
135,abru,fin
136,abru,pile of brushwood
137,abrūtu,abru-priesthood
138,absinnu,furrow
139,abtu,destroyed
140,abu,father
141,abukkatu,sap of a.
142,abullu,gate (of city or large building)
143,abulmahhu,high gate
144,abultannu,gatekeeper
145,abunnatu,umbilical cord
146,abunnatu,navel
147,aburriš,in a green pasture
148,aburru,water-meadow
149,aburru,pasture
150,abā'u,to weed
151,abāku,to lead away
152,abāku,to overturn
153,abāku,upset
154,abālu,to dry (up)
155,abāru,(the metal) lead
156,abāru,embrace
157,abāru,physical strength
158,abāru,to embrace
159,abātu,to destroy
160,abātu,to run away
161,abātu,flee from
162,abšānu,yoke
163,abšānu,harness
164,abūbu,flood
165,abūbu,deluge
166,abūbāniš,like a flood
167,abūsu,storehouse
168,abūsu,stable
169,abūsātu,forelock
170,adallu,strong
171,adamdunû,Adamdun vessel
172,adammû,conflict
173,adammû,battle
174,adammūmu,wasp
175,adamu,red
176,adanniš,very much
177,adanniš,greatly
178,adantu,(reddish? species of) shrew
179,adappu,horizontal crossbeam
180,adapu,wise
181,adattu,succulent part of reed
182,addiru,very dark
183,addu,throwstick
184,addâ,daddy
185,adi,until
186,adi,as far as
187,adirtu,gloominess
188,adirtu,fear
189,adirtu,apprehension
190,admūtu,contributed share
191,adnātu,world
192,adnātu,people
193,adriš,dimly
194,adriš,faintly visible
195,adru,dark
196,adru,gloomy
197,adru,threshing floor
