,row_index,segment_idx,akk,eng
0,0,0,,
1,0,1,KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a ,"Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya."
2,0,2,0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb," Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum. Reckoned from the week of Ilī-dan, month of Ša-kēnātim, in the eponymy of Enna-Suen, he will pay in 14 weeks. If he has not paid in time, he will add interest at the rate 1.5 shekel per mina per month."
3,3,0,,
4,3,1,KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku ,"Seal of Šu-Illil son of Šu-Kūbum, seal of Ṣilūlu son of Uku."
5,3,2,i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il₅-qé," When Iddin-abum spoke his will, he gave 10 minas ofדsilver to Šalim-Aššur. He said: He may take it from the interest on my silver."""""
6,6,0,,
7,6,1,KIŠIB a-lá-ḫi-im KIŠIB a-li-li KIŠIB a-bi₄-lá KIŠIB lá-qé-ep ,"Seal of Ali-ahum, seal of Ali-ilī, seal of Abila, seal of Lā-qēp,"
8,6,2,ša i-na ba-áb-tim ša a-šùr-be-el-ma-al-ki-im ša iš-ti DUMU a-tù-ri-a ù a-mur-a-šùr ḫi-na-a iṣ-bu-tù-ma a-na e-lá-ma ip-qí-du 2 ma-na 13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am e-lá-ma a-na a-lá-ḫi-im ù a-li-li ip-qí-du KÙ.BABBAR a-na a-lá-ḫi-im a-li-li ù ḫi-na-a a ba-re-šu-nu i-lá-ak," that what hinnāya had seized as part of an outstanding claim of Aššur-bēl-malkim from Atūriya's son andfrom Amur-Aššur and had entrusted to Elamma - an amount of 2 minas 13.5 shekels of refined silver, which Elamma in turn had entrusted to Ali-ahum and Ali-ilī - that this silver will become the joint property / responsibility of Ali-ahum, Ali-ilī and hinnāya."
9,17,0,,
10,17,1,KIŠIB a-šur-i-mì-tí DUMU a-mur-lu-ṣú KIŠIB a-bu-ša-lim DUMU a-šùr-e-mu-qí ,"Seal of Aššur-imittī son of Amur-luṣu, seal of Abu-šalim son of Aššur-emūqī."
11,17,2,a-na a-wa-tim a-ni-a-tim ša ili₅-ba-ni DUMU a-mur-a-šur ù a-ḫu-qar DUMU šu-IŠTAR GÍR ša a-šùr iṣ-bu-tù-ni-ma a-šùr-i-mì-tí DUMU a-mur-lu-ṣú ù a-bu-ša-lim DUMU a-šùr-e-mu-qí pí-šu-nu iš-me-ú-ni <gap>-ni <gap> a-šur <gap> ṭup-pu <gap> a-bi-ni, For these proceedings concerning Ilī-bāni son of Amur-Aššur and Ahu-waqar son of Šu-Ištar - they seized Aššur's dagger and Aššur-imittī son of Amur-luṣu and Abu-šalim son of Aššur-emūqī heard their statement. <gap>
12,30,0,a-na a-ḫa-tim ,To Ahātum; 
13,30,1,KIŠIB a-lá-ḫi-im ù KIŠIB i-dí-a-bi₄-im,seal of Ali-ahum and seal of Iddin-abum.
14,30,2,,
15,32,0,,
16,32,1,KIŠIB a-lá-ḫi-im DUMU e-lá-lí KIŠIB en-nam-a-šur DUMU en-na-sú-in KIŠIB dan-a-šur DUMU šál-mì-ḫi-im KIŠIB pu-šu-ki-in DUMU sú-e-a ,"Seal of Ali-ahum son of Elāli, seal of Ennam-Aššur son of Enna-Suen, seal of Dan-Aššur son of Šalim-ahum, seal of Pūšu-kēn son of Sueyya."
17,32,2,šu-ma a-šur-ta-ak-lá-ku na-ru-qám a-na en-nam-a-šur i-tí-dí-in i-na 1 GÚ 2 ma-na KÙ.BABBAR ša ṭup-pì-šu ḫa-ar-mì-im ša en-nam-a-šur 2 ma-na KÙ.BABBAR i-lá-qé-ma 3 ma-na KÙ.GI iš-tí um-me-a-ni-šu šu-mì pu-šu-ki-in i-lá-pá-at šu-ma a-šur-ta-ak-lá-ku qá-sú im-ta-ḫa-aṣ <gap>-20 ma-na KÙ.BABBAR ki-ma 10 ma-na KÙ.GI iš-tù ḫa-muš-tim ša i-dí-a-šur ù i-ku-nim a-na 46 ḫa-am-ša-tim pu-šu-ki-in a-na en-nam-a-šur i-da-an-ma na-ru-uq en-nam-a-šur a-li ṭá-bu-šu-ni pu-šu-ki-in ú-šé-ra-áb šu-ma pu-šu-ki-in na-ru-qám a-na en-nam-a-šur lá i-tí-dí-in 10 ma-na KÙ.BABBAR ṣa-ru-pá-am pu-šu-ki-in a-na en-nam-a-šur i-ša-qal šu-ma en-nam-a-šur qá-tám im-ta-ḫa-aṣ 10 ma-na KÙ.BABBAR ṣa-ru-pá-am a-na pu-šu-ki-in i-ša-qal ta-aḫ-sí-is-tum a-ni-tum me-ḫi-ir ṭup-pì-im ḫa-ar-mì-im ša ku-nu-uk pu," If Aššur-taklāku has given a joint-stock investment to Ennam-Aššur, then he will receive 2 minas of silver out of the 1 talent 2 minas of silver in his certified tablet, belonging to Ennam-Aššur, and he will write down 3 minas of gold in the name of Pūšu-kēn with his other investors. If Aššur-taklāku has refused him, then Pūšu-kēn will give 40? minas of silver, representing 10 minas of gold, within 46 weeks reckoned from the week of Iddin-Aššur and Ikūnum, and Pūšu-kēn will make Ennam-Aššur's joint-stock investment enter wherever it is favourable for him. If Pūšu-kēn has not given a joint-stock investment to Ennam-Aššur (in time), Pūšu-kēn must give 10 minas of refined silver to Ennam-Aššur. If Ennam-Aššur has refused, he must pay 10 minas of refined silver to Pūšu-kēn. This memorandum is a copy of a certified tablet sealed by Pūšu-kēn."
18,34,0,,
19,34,1,KIŠIB a-šur-i-mì-tí DUMU du-dí-ki KIŠIB ú-ṣur-ša-a-šur DUMU a-ku-a KIŠIB a-šur-ba-ni ,"Seal of Aššur-imittī son of Dudiki, seal of Uṣur-ša-Aššur son of Akuwa, seal of Aššur-bāni,"
20,34,2,kà-al-bi₄-im 15 ma-na URUDU ší-kam a-na šu-mì en-um-a-šur DUMU šál-ma-a-šur a-na ta-áp-ḫi-ri-im áš-qúl," the dog"". I paid 15 minas of -copper to the temple-funds on behalf of Ennam-Aššur son of Šalim-Aššur."""
21,90,0,,
22,90,1,KIŠIB ba-zi-a ,"Seal of Baziya,"
23,90,2,šu-ḫu-bur ù ku-ul-ma-ku-ul-ma na-áš-pé-er-tí ma-ma-ḫi-ir ša 3 ma-na KÙ ú-šé-ru-šu-nu-tí-ni, Šu-hubur and Kulma-kulma; Missive from Man-mahir stating that I released 3 minas of silver to them.
24,106,0,a-na ku-li-a DUMU a-lá-bi₄-im ḫa-nu-nu DUMU en-um-a-šur ú-ṣur-ša-a-šùr DUMU PÚZUR-a-šur ú a-šur-lá-ma-sí DUMU a-šur-na-da ,"To Kuliya, son of Ali-abum, Hanunu, son of Ennum-Assur, Usur-sa-Assur, son of Puzur-Assur and Assur-lamassi, son of Assur-nada, "
25,106,1,KIŠIB pì-lá-aḫ-IŠTAR DUMU a-šur-na-da,seal of Pilah-Istar son of Assur-nada.
26,106,2,,
27,110,0,,
28,110,1,KIŠIB pí-la-aḫ-IŠTAR DUMU i-bi₄-sú-a KIŠIB šu-ma-li-bi₄-a-šur DUMU ku-ús-ku-sí-im KIŠIB en-na-sú-in DUMU a-mur-{d}UTU KIŠIB a-al-DU₁₀ DUMU a-mur-{d}UTU ,"Seal of Pilah-Ištar, son of Ibisua, seal of Šumma-libbi-Aššur, son of Kuskusum, seal of Ennam-Suen, son of Amur-Šamaš, seal of Āl-ṭāb, son of Amur-Šamaš,"
29,110,2,ša ḫu-bu-ul en-na-sú-in ù a-al-DU₁₀ me-er-e a-mur-{d}UTU 3.5 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pu-um iš-tù ḫa-mu-uš-tim ša a-šùr-i-mì-tí ù a-mur-IŠTAR a-na 1 ma-na-im 2 GÍN.TA i-na ITU.KAM ṣí-ib-tám ú-ṣú-bu KÙ.BABBAR i-na qá-qá-ad šál-mì-šu-nu ra-ki-is ITU.KAM ša sà-ra-tim li-mu-um ša i qá-té sú-kà-lí-a il-qé-ú," (to the effect) that the debtof Ennam-Suen andĀl-ṭāb, sons of Amur-Šamaš, is 3.5 minas 5 shekels of refined silver. From the week of Aššur-imittī and Amur-Ištar they will add per 1 mina2 shekels per month as interest.For the silver they are jointly liable. Month II,eponymy of the one who took over from Sukkalliya."
30,115,0,,
31,115,1,KIŠIB en-na-nim DUMU šu-bé-lim KIŠIB ú-ṣú-ur-ša-a-šur DUMU a-mur-i-a ,"Seal of Ennānum son of Šu-Bēlum, seal of Uṣur-ša-Aššur son of Amurriya."
32,115,2,13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am i-na ṣé-er ú-ṣú-ur-ša-a-šur DUMU a-mur-i-a i-ri-šum i-šu iš-tù ḫa-mu-uš₁₀-tim ša a-šur-i-mì-tí ù a-mur-IŠTAR 0.3333 GÍN.TA i-na ITU.KAM ú-ṣa-áb, Uṣur-ša-Aššur son of Amurriya owes 13.5 shekels of refined silver to Irišum. Reckoned from the week of Aššur-imittī and Amur-Ištar he must add interest at the rate 0.3333 shekel per month.
33,135,0,,
34,135,1,KIŠIB šu-bé-lim DUMU ku-zi-zi-a ,Seal of Šu-Bēlum son of Kuziziya;
35,135,2,a-na a-la-ḫi-im DUMU a-dí-la-at DUMU a-ta-a a-ḫi a-ta a-na a-wa-at ṭup-pí-im i-ḫi-id-ma iš-tí a-zu-ú tí-ir-ta-kà le-zi-ba-am," to Ali-ahum son of Adad-ellat, (grand)son of Ataya. My dear brother, pay heed to the words of the letter and let your message be left with Azu."
36,141,0,,
37,141,1,KIŠIB a-mur-{d}UTU DUMU mì-šu-ra-bi KIŠIB na-bi-sú-in DUMU {d}AB-ba-ni KIŠIB i-ku-pí-a-šùr DUMU šu-IŠTAR ,"Seal of Amur-Šamaš son of Miššu-rabi, seal of Nabi-Suen son of Illil-bāni, seal of Ikūn-pī-Aššur son of Šu-Ištar."
38,141,2,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma ṭup-pá-am ší-bu-tí-ni IGI GÍR ša a-šùr ni-dí-in, The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.
39,145,0,,
40,145,1,KIŠIB kà-ri-im ,Seal of the
41,145,2,kà-ni-iš ṣa-ḫe-er GAL kà-ru-um kà-ni-iš ṣa-ḫe-er GAL dí-nam i-di-in-ma <gap> ma-na KÙ.BABBAR be-ú-lá-at zi-ki-im a-na a-šùr-i-dí ir-ma-a-šùr i-ša-qal," Kanesh colony in plenary session. The Kanesh colony in plenary session passed the following verdict: <gap> mina of silver, the working capital of Zikum to Aššur-idī Ir'am-Aššur shall pay."""""
42,153,0,,
43,153,1,KIŠIB šu-nu-nu DUMU a-mur-IŠTAR ,Seal of Šu-Nūnu son of Amur-Ištar.
44,153,2,ṭup-pu-um ša ší-bu-tí-a ša IGI šu-ga-ri-a-im ša a-šùr wa-bar-tum ša ša-mu-ḫa i-dí-ni-ma ṭup-pá-am a-dí-in," Tablet with my testimony before the šugarri'ā'um of Aššur. The Šamuha station gave me, and I gave the tablet."
45,167,0,,
46,167,1,KIŠIB a-ku-za DUMU šu-a-nim KIŠIB ú-ra-a DUMU ma-na-na KIŠIB a-šur-ba-ni DUMU ša-lim-a-šùr ,"Seal of Akuza son of Šu-Anum, seal of Uraya son of Manana, seal of Aššur-bāni son of Šalim-Aššur."
47,167,2,a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš-ki i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in, The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.
48,170,0,a-na a-lá-ḫi-im ,To Ali-ahum; 
49,170,1,KIŠIB a-mur-ša-ra-sà ,seal of Amur-šarrassa.
50,170,2,<gap>,
51,191,0,,
52,191,1,KIŠIB DINGIR.SIPA DUMU a-ta-a KIŠIB šu-lá-ba-an DUMU ib-ni-lí KIŠIB PUZUR₄-a-bé-eḫ DUMU {d}a-šur-{d}UTU-ši ,"Seal of Ilī-rē'ī, son of Ataya, seal of Šu-Labān, son of Ibni-ilī, seal of Puzur-Abeh, son of Aššur-šamšī,"
53,191,2,ša šu-iš-ḫa-ra DUMU <gap>-a ù PUZUR₄-a-be-eḫ 9 GÚ URUDU SIG₅ ḫa-bu-ra-ta-i-am ša-bu-ra-am iš-tù ḫa-mu-uš-tim ša {d}UTU.DU₁₀ a-na 13 ḫa-am-ša-tim i-ša-qú-lu šu-ma i-na u₄-me-šu-nu ma-al-ú-tim lá iš-qú-lu 1.5 ma-na.TA i-na ITU.KAM-im a-na 1 GÚ-tim ú-ṣú-bu URUDU i-na qá-qá-ad šál-mì-šu-nu ra-ki-is,
54,194,0,,
55,194,1,KIŠIB šu-nu-nu DUMU a-mur-IŠTAR KIŠIB zu-zu DUMU en-um-ì-lí KIŠIB {d}MAR.TU-ba-ni DUMU šu-la-áb-ra-at ,"Seal of Šu-Nūnu son of Amur-Ištar, seal of Zuzu son of Ennam-ilī, seal of Amurrum-bāni son of Šu-Ilabrat."
56,194,2,8 GÍN KÙ.BABBAR i-na ṣé-er {d}MAR.TU-ba-ni i-ri-šu-um i-šu a-na pá-ḫa-ar ad-ri-im i-ša-qal šu-ma lá iš-qúl 0.3333 GÍN.TA i-na ITU.KAM ú-ṣa-áb li-mu-um ša qá-tí a-mur-a-šur DUMU kà-ri-a, Amurrum-bāni owes 8 shekels of silver to Irišum. He will pay at the gathering of the threshing floor. If he has not paid he will pay interest at the rate 0.3333 shekel per month. Eponymy after that of Amur-Aššur son of Karriya.
57,196,0,,
58,196,1,KIŠIB ša-qí-il₅ ,Seal of the
59,196,2,da-tim ku-li-a ší-ip-ri-im ša kà-ri-im kà-ni-iš ù kà-ri-im dur₄-ḫu-mì-it a-na kà-ar-kà-ar-ma ù wa-ba-ra-tim a-dí kà-ri-im kà-ni-iš," -payers, of Kuliya, the messenger of Kanesh, and of Durhumit, to every single and the, until Kanesh."
60,198,0,,
61,198,1,KIŠIB ma-ma-ḫi-ir ,"Seal of Man-mahir,"
62,198,2,dan-a-šur DUMU PUZUR₄-a-šur a-lá-ḫi-im a-ḫi-šu ù šu-IŠTAR DUMU šu-ki-tim a-na en-um-a-šur DUMU ša-lim-a-šur," Dan-Aššur son of Puzur-Aššur, Ali-ahum his brother and Šu-Ištar son of Šukkutum; to Ennam-Aššur son of Šalim-Aššur."
63,199,0,,
64,199,1,KIŠIB ṣí-lu-uš-da-gan KIŠIB a-šùr-ba-ni DUMU i-dí-a-bi-im KIŠIB i-dí-a-bi-im DUMU a-šùr-ba-ni ,"Seal of Ṣilluš-Dagān, seal of Aššur-bāni son of Iddin-abum, seal of Iddin-abum son of Aššur-bāni."
65,199,2,20 ma-na URUDU ma-sí-am i-ṣé-er i-dí-a-bi-im DUMU a-šùr-ba-ni ma-ma-ḫi-ir i-šu ITU.KAM ku-zal-li li-mu-um bu-zu-ta-a a-na ša-na-at i-ša-qal šu-ma lá iš-qú-ul a-na 10 ma-na-e 1 ma-na.TA i-na ITU.KAM ṣí-ib-tám ú-ṣa-áb," Iddin-abum son of Aššur-bāni owes 20 minas of washed copper to Man-mahir. Month Kuzallu, eponymy Buzutaya. He will pay within a year. If he has not paid he will pay interest at the rate 1 mina per 10 minas per month."
66,202,0,,
67,202,1,KIŠIB šu-mì-a-bi-a DUMU zu-zu-ú KIŠIB lá-ba-na-da DUMU i-dí-sú-en₆ KIŠIB a-šùr-DU₁₀ DUMU e-na-ma-nim ,"Seal of Šumi-abiya, son of Zuzū, seal of Labān-nādā, son of Iddin-Suen, seal of Aššur-ṭāb, son of Ennamānum."
68,202,2,1 GÚ AN.NA ku-nu-ki ša a-lim{ki} i-ṣé-er a-šur-DU₁₀ a-ḫu-qar i-šu i-tù-a-ar DINGIR-šu-GAL ṣú-ḫa-ri-im ša a-šur-DU₁₀ iš-tù a-lim{ki} i-na ri-i-iš AN.NA 5 GÚ URUDU SIG₅ ma-sí-am ša-bu-ra-am a-na a-šur-DU₁₀ a-ḫu-qar i-ša-qal 1 GÚ AN.NA-ak-šu a-ḫu-qar i-lá-qé," 1 talent of tin with seals of the city, Aššur-ṭāb owes to Ahu-waqar.When Ilšu-rabi, the servant of Aššur-ṭab, returns fromthe city, immediately when (he receives) the tin, 5 talents of refined copper of good quality, in pieces, Ahu-waqar will pay to Aššur-ṭāb (and) Ahu-waqar will get his 1 talent of tin."
69,207,0,a-na lu-zi-na DUMU a-šùr-ba-ni a-dí-da DUMU wa-ar-dí-i-li-šu ù a-lá-ḫi-im DUMU šál-ma-a-šùr ,"To Luzina son of Aššur-bāni, Adida son of Warad-ilišu and Ali-ahum son of Šalim-Aššur; "
70,207,1,KIŠIB en-na-sú-in DUMU i-dí-a-bi-im,seal of Enna-Suen son of Iddin-abum.
71,207,2,,
72,228,0,,
73,228,1,KIŠIB a-šur-{d}UTU-ši DUMU šu-IŠTAR KIŠIB a-šur-lá-ma-sí KIŠIB dan-a-šur DUMU ku-sú-sà-ri-im ,"Seal of Aššur-šamšī, son of Šu-Ištar, seal of Aššur-lamassī, seal of Dān-Aššur, son of Kususārum."
74,228,2,<gap> ma-na KÙ ṣa-ru-pá-am i-ṣé-er a-šur-lá-ma-sí la-ma-sà-tum tí-šu iš-tù ḫa-mu-uš-tim ša kur-ub-IŠTAR ù ì-lí-iš-ta-kál a-na 4 ITU.KAM i-ša-qal šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb," <gap> mina of refined silver Aššur-lamassī owes to Lamassutum. From the week of Kurub-Ištar and Iliš-tikal he will pay in 4 months. If he does not pay, he will add interest in accordance with the regulation of the colony."
75,231,0,,
76,231,1,KIŠIB bé-lí-a DUMU DINGIR-kur-ub KIŠIB ša-lim-a-šur DUMU {d}IM.SIG₅ KIŠIB a-lá-ḫi-im DUMU šu-ku-bi-im KIŠIB DU₁₀-pí-a-šùr DUMU a-lá-ḫi-im KIŠIB {d}UTU-a-bi DUMU sú-sà-nim ,"Seal of Bēliya son of Ilī-kurub, seal of Šalim-Aššur son of Adad-damiq, seal of Ali-ahum son of Šu-Kūbum, seal of Ṭāb-pī-Aššur son of Ali-ahum, seal of Šamaš-abī son of Sūsānum."
