,source_id,row_index,segment_idx,transliteration,translation
0,,0,0,KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a ,"Seal of Mannum-balum-Aššur son of Ṣilli-Adad, seal of Šu-Illil son of Mannum-kī-Aššur, seal of Puzur-Aššur son of Ataya."
1,,1,0,0.3333 ma-na 2 GÍN KÙ.BABBAR SIG₅ i-ṣé-er PUZUR₄-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb," Puzur-Aššur son of Ataya owes 22 shekels of good silver to Ali-ahum. Reckoned from the week of Ilī-dan, month of Ša-kēnātim, in the eponymy of Enna-Suen, he will pay in 14 weeks. If he has not paid in time, he will add interest at the rate 1.5 shekel per mina per month."
2,,2,0,KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku ,"Seal of Šu-Illil son of Šu-Kūbum, seal of Ṣilūlu son of Uku."
3,,3,0,i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il₅-qé," When Iddin-abum spoke his will, he gave 10 minas ofדsilver to Šalim-Aššur. He said: He may take it from the interest on my silver."""""
4,,4,0,KIŠIB a-lá-ḫi-im KIŠIB a-li-li KIŠIB a-bi₄-lá KIŠIB lá-qé-ep ,"Seal of Ali-ahum, seal of Ali-ilī, seal of Abila, seal of Lā-qēp,"
5,,5,0,ša i-na ba-áb-tim ša a-šùr-be-el-ma-al-ki-im ša iš-ti DUMU a-tù-ri-a ù a-mur-a-šùr ḫi-na-a iṣ-bu-tù-ma a-na e-lá-ma ip-qí-du 2 ma-na 13.5 GÍN KÙ.BABBAR ṣa-ru-pá-am e-lá-ma a-na a-lá-ḫi-im ù a-li-li ip-qí-du KÙ.BABBAR a-na a-lá-ḫi-im a-li-li ù ḫi-na-a a ba-re-šu-nu i-lá-ak," that what hinnāya had seized as part of an outstanding claim of Aššur-bēl-malkim from Atūriya's son andfrom Amur-Aššur and had entrusted to Elamma - an amount of 2 minas 13.5 shekels of refined silver, which Elamma in turn had entrusted to Ali-ahum and Ali-ilī - that this silver will become the joint property / responsibility of Ali-ahum, Ali-ilī and hinnāya."
6,,6,0,KIŠIB a-šur-i-mì-tí DUMU a-mur-lu-ṣú KIŠIB a-bu-ša-lim DUMU a-šùr-e-mu-qí ,"Seal of Aššur-imittī son of Amur-luṣu, seal of Abu-šalim son of Aššur-emūqī."
7,,7,0,a-na a-wa-tim a-ni-a-tim ša ili₅-ba-ni DUMU a-mur-a-šur ù a-ḫu-qar DUMU šu-IŠTAR GÍR ša a-šùr iṣ-bu-tù-ni-ma a-šùr-i-mì-tí DUMU a-mur-lu-ṣú ù a-bu-ša-lim DUMU a-šùr-e-mu-qí pí-šu-nu iš-me-ú-ni <gap>-ni <gap> a-šur <gap> ṭup-pu <gap> a-bi-ni, For these proceedings concerning Ilī-bāni son of Amur-Aššur and Ahu-waqar son of Šu-Ištar - they seized Aššur's dagger and Aššur-imittī son of Amur-luṣu and Abu-šalim son of Aššur-emūqī heard their statement. <gap>
8,,8,0,a-na a-ḫa-tim ,To Ahātum; 
9,,9,0,KIŠIB a-lá-ḫi-im ù KIŠIB i-dí-a-bi₄-im,seal of Ali-ahum and seal of Iddin-abum.
10,,10,0,KIŠIB a-lá-ḫi-im DUMU e-lá-lí KIŠIB en-nam-a-šur DUMU en-na-sú-in KIŠIB dan-a-šur DUMU šál-mì-ḫi-im KIŠIB pu-šu-ki-in DUMU sú-e-a ,"Seal of Ali-ahum son of Elāli, seal of Ennam-Aššur son of Enna-Suen, seal of Dan-Aššur son of Šalim-ahum, seal of Pūšu-kēn son of Sueyya."
