Unnamed: 0,source_id,row_index,segment_idx,akk,eng
677,,677,0,<gap> GÍN KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er šu-be-lim šu-{d}EN.LÍL i-šu iš-tí KÙ.BABBAR uk-ta-al qá-dum ṭup-pì-šu ša kà-né-eš ,Šu-Bēlum owes <gap> shekels of refined silver to Šu-Illil; he is held in service with the silver - including his tablet from Kanesh. 
678,,678,0,IGI ša-lim-a-šur DUMU i-lí-a IGI sá-sí-a ,"Witnessed by Šalim-Aššur son of Iliya, by Sasiya."
679,,679,0,0.3333 ma-na LÁ 2 GÍN KÙ.BABBAR i-ṣé-er DINGIR-i-dí šu-{d}EN.LÍL i-šu , Ilī-idī owes 0.3333 mina less 2 shekels of silver to Šu-Illil. 
680,,680,0,IGI e-me-ni IGI Ì-lí-áš-ra-ni DUMU šu-IŠTAR ,"Witnessed by Emeni, by Ilī-ašrannī son of Šu-Ištar."
681,,681,0,2 ma-na KÙ.BABBAR ṣa-ru-pá-am KI šu-ku-bi₄-im <gap> im lu nim a-na <gap> ki-im 6 <gap> i-ša-qal 20 ma-na URUDU {d}MAR.TU-ba-ni a-na ŠE-im il₅-qé , 2 minas of refined silver is owed by Šu-Kūbum <gap> he must pay. Amurrum-bāni took 20 minas of copper for grain. 
682,,682,0,IGI i-dí-a-bi₄-im IGI ša-lim-a-šur DUMU i-lí-a ,"Witnessed by Iddin-abum, by Šalim-Aššur son of Iliya."
683,,683,0,70 ÁŠ ŠE-am <gap> i-ṣé-er en-nam-a-šur šu-{d}EN.LÍL i-šu ŠE-am SIG₅ i-na <gap> ša-tim i-ma-da-ad , Ennam-Aššur owes 70 grain to Šu-Illil. He is to measure out the good grain in a year. 
684,,684,0,IGI <gap>-ni IGI šu-a-nim ,"Witnessed by <gap>ni, by Šu-Anum."
685,,685,0,iš-tù 6 ITU.KAM i-lu-ku ša-na-at i-lá-ak-ma 1 ma-na <gap> i-ša-qal, After 6 months have passed a year will pass and he must pay 1 mina <gap>
686,,686,0,11 GÍN KÙ.BABBAR ša a-mur-IŠTAR KI en-um-a-šùr i-ba-ší ,11 shekels of silver belonging to Amur-Ištar is owed by Ennam-Aššur. 
687,,687,0,IGI a-šùr-ba-ni,Witnessed by Aššur-bāni.
688,,688,0,<gap> a-<gap> lu-<gap> DUMU <gap> KÙ.BABBAR <gap> ša <gap> ku-nu-ki KÙ.BABBAR ša ša-lim-a-šur a-na a-šur-i-mì-tí DUMU a-mur-DINGIR ni-ip-qí-id a-ḫa-ma 7 ma-na 13 GÍN KÙ.BABBAR ṣa-ru-pá-am a-šur-i-mì-tí DUMU a-mur-DINGIR i-na KÙ.BABBAR-ap ša-lim-a-šùr il₅-qé ,"<gap> sealed by Šalim-Aššur we entrusted to Aššur-imittī son of Amur-ilī. Further, Aššur-imittī son of Amur-ilī received 7 minas 13 shekels of refined silver from Šalim-Aššur's silver. "
689,,689,0,IGI ú-ra-a IGI pu-šu-ke-en₆ ,"Witnessed by Uraya, by Pūšu-kēn."
690,,690,0,KÙ.BABBAR a-ni-a-am ki-ma šál-ma-a-šùr MAR.TU-ba-ni ù a-šùr-SIPA ip-qí-du, Amurrum-bāni and Aššur-rē'ī entrusted this silver on behalf of Šalim-Aššur. 
691,,691,0,0.3333 ma-na LÁ 2 GÍN KÙ.BABBAR ṣa-ru-pu-um i-ṣé-er PUZUR₄.IŠTAR i-ri-šum i-šu iš-tù ḫa-muš-tim ša a-šur-i-dí ù tap-pá-i-šu a-na 2 ITU.KAM i-ša-qal šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-tám i ITU.KAM ú-ṣa-áb ,Puzur-Ištar owes 0.3333 mina less 2 shekels of refined silver to Irišum. Reckoned from the week of Aššur-imittī and his partner he is to pay within 2 months. If he has not paid (in time) he is to add interest according to the rule of the colony every month. 
692,,692,0,IGI mu-šu-e-ni IGI a-ta-a,"Witnessed by Mušueni, by Ataya."
693,,693,0,a-na {d}IM-ba-ni <gap> Ì-lí-iš-ta-ki-il₅ <gap> ù pí-la-aḫ-IŠTAR qí-bi-ma um-ma DAM.GÀR-um-ma 1 GÚ 35 ma-na KÙ.BABBAR ni-is-ḫa-sú DIRI ša-du-a-sú ša-bu-ú pì-lá-aḫ-IŠTAR ù ú-zu-a na-áš-a-ku-nu-tí a-ḫu-a a-tù-nu ú iḫ-da-ma AN.NA-kam da-am-qám wa-at-ra-am ma-ḫi-ir i-za-zu <gap> ú ba šu <gap> ša-a-ma šu-uq-lam-<gap> ú <gap> ta nu-ša-li-<gap> um <gap> ú <gap> KÙ.GI pá-ša-lam da-am-qám ša ba-ri-ni pì-lá-aḫ-IŠTAR na-áš-a-ku-nu-ti a-ḫu-a a-tù-nu ú iḫ-da-ma KI pá-ni-im wa-ṣí-im lu-qú-ti áb-kà-nim ú a-ḫa-ma 40 ma-na KÙ.BABBAR ṣa-ru-pá-am ša a-na šu-mì É a-bi₄-a a-na pì-lá-aḫ-IŠTAR áp-qí-id ,"To Adad-bāni <gap>, Iliš-takil <gap> and Pilah-Ištar from the merchant: Pilah-Ištar and Uzuwa bring you 1 talent 35 minas of silver, its import duty added, its transport tariff paid for. My dear brothers, buy tin of extra-fine quality according to the market price and <gap> Pilah-Ištar brings you <gap> fine -gold belonging to us jointly. My dear brothers, dispatch my goods with the first leaving caravan. Also, I further entrusted 40 minas of refined silver in the name of our father's house to Pilah-Ištar. "
694,,694,0,IGI pu-šu-ki-in IGI ku-zi-zi-a IGI {d}IM-re-<gap>,"Witnessed by Pūšu-kēn, by Kuziziya, by Adad-rē'ī."
695,,695,0,3 ma-na KÙ.BABBAR ṣa-ru-pá-am i-na ší-im SÍG.ḪI.A ša ú-ší-na-lam i-lá-áš-ra-ni DUMU sú-kà-li-a il₅-qé ,Ilī-ašrannī son of Sukkalliya has received 3 minas of refined silver from the proceeds of Ušinalam's wool. 
696,,696,0,IGI a-šùr-ba-ni DUMU kur-bi-a-a IGI iš-me-DINGIR IGI i-dí-ku-bi-im,"Witnessed by Aššur-bāni son of Kurbiya, by Išme-ilum, by Iddin-Kūbum."
697,,697,0,4 GÚ AN.NA ù it-ra-sú ku-nu-ki ša a-lim{ki} 20 ku-ta-ni qá-dum 12 ku-ta-ni ma-ṭí-ú-tim ša li-wi-tim a-ḫa-ma 20 ku-ta-ni qá-tám ša e-kál-lúm a-na ší-mì-im il₅-qé-ú a-na qá-tí ša-lim-a-šùr ṭá-aḫ-ú ŠU.NÍGIN 40 ku-ta-ni ù 5 ANŠE.ḪI.A ṣa-lá-me i-na lu-qú-tim ša šé-ep šu-ku-bi-im i-li-kà-ni ša-lim-a-šùr il₅-qé ší-tí ṣú-ba-tí-šu 45 ku-ta-nu qá-du-um ṣú-ba-tí-šu SIG₅ ku-nu-ku ša šu-ku-bi-im É ša-lim-a-šùr i-ba-ší-ú 3 ku-ta-ni ni-is-ḫa-tim e-kál-lúm il₅-qé 3 ku-ta-ni ša li-wi-tim SIG₅ e-kál-lúm il₅-qé ù 2 ku-ta-nu i-na e-kál-lim iḫ-li-qú 15 ma-na AN.NA a-ṣé-er AN.NA-ak qá-tí-šu ša šu-ku-bi-im a-na ni-ip-lá-tí-šu a-na ša-lim-a-šùr iš-qú ,"4 talents of tin plus its extras, sealed in the City, 20 including 12 of low quality for wrapping, further, 20, the share that the palace took for pre-emption, have been transferred to Šalim-Aššur's account - in all Šalim-Aššur has received 40 and 5 black donkeys from the merchandise that arrived with Šu-Kūbum's transport. The rest of his textiles, 45 including his textiles of good quality, are in Šalim-Aššur's house under Šu-Kūbum's seal. The palace received 3 as import duty; the palace received 3 from the wrapping of good quality, and 2 were lost in the palace. Šu-Kūbum has paid 15 minas of tin on top of his expense tin as balance to Šalim-Aššur. "
698,,698,0,IGI {d}MAR.TU-ba-ni DUMU ma-na-na IGI PUZUR₄-a-na DUMU i-dí-{d}IM ni-kà-sú ,"Witnessed by Amurrum-bāni son of Manana, by Puzur-Anna son of Iddin-Adad."
699,,699,0,i-na 16.8333 ma-na NA₄.GÌN.ZA ša ik-ri-bi ša a-šùr ša iš-tí ma-ma-ḫi-ir i-na ša-lá-tù-ar am-ḫu-ru i-na ŠÀ.BA 10.3333 ma-na ḫu-sà-ra-am ša ik-ri-bi ku-nu-ki ša DAM.GÀR ki-ma tám-kà-ri-im a-na ku-da-tim DUMU a-mur-IŠTAR áp-qí-id-ma a-na ší-a-ma-tim ú-šé-bi-il₅-šu um-ma a-na-ku-ma a ma-lá na-áš-pé-er-tí DAM.GÀR ša a-na ṣé-er dan-a-šur ù a-ṣé-ri-kà lá-áp-tù ep-ša-ma KÙ.BABBAR ù <gap> a-ší-um lu gi-mì-lam <gap> a-na ú-me lá tù-ša-ra-ma iš-tí pá-ni-ú-tí-ma šé-bi-lá-nim ,"Of the 16 ⅚ minas of lapis lazuli from the votive offering to Aššur that I received from Man-mahir in Šalatuwar, thereof I entrusted 10 ⅓ minas of lapis lazuli from the votive offering under the seal of the merchant and on behalf of the merchant to Kudātum son of Amur-Ištar, and I sent him away to make purchases. I said: Act in accordance with the missive of the merchant that was written to Dan-Aššur and to you and <gap> silver and <gap> iron; do not release it on credit but send it as soon as possible."" "
700,,700,0,IGI a-šur-e-nam DUMU lá-qé-pí-im IGI šu-IŠTAR DUMU a-šur-i-mì-tí DUMU e-ta-a,"Witnessed by Aššur-ennam son of Lā-qēp, by Ša-Ištar son of Aššur-immittī, (grand)son of Etaya."""
701,,701,0,IGI šu-IŠTAR DUMU e-ra-dí IGI ú-gi-e-<gap> DUMU e-na-ma-a-šùr,"Witnessed by Šu-Ištar son of Erradi, by Ugi<gap> son of Ennam-Aššur."""
